faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout,season
0.517256,82,217,2.64634,242,2.95121,31,9,0.849315,0.821918,0.56707,93,0.126126,0.157657,41,20222023,31.02439,30.78048,New York Islanders,2,8,,42,36,1,2022-2023
0.503481,82,247,3.01219,258,3.14634,27,17,0.855555,0.825926,0.56707,93,0.174603,0.198412,36,20222023,27.31707,35.95121,Calgary Flames,20,1,,38,31,2,2022-2023
0.522261,82,236,2.87804,223,2.71951,32,8,0.847272,0.825455,0.56097,92,0.152,0.176,36,20222023,33.28048,29.5,Nashville Predators,18,2,,42,29,6,2022-2023
0.489062,82,272,3.31707,288,3.51219,32,8,0.780068,0.759451,0.56097,92,0.195652,0.22826,40,20222023,31.7439,36.81707,Florida Panthers,13,3,,42,36,2,2022-2023
0.451186,82,297,3.62195,293,3.57317,33,7,0.769911,0.730089,0.55487,91,0.208178,0.2342,39,20222023,33.04878,32.5,Buffalo Sabres,7,2,,42,30,3,2022-2023
0.52064,82,263,3.20731,261,3.18292,31,11,0.809885,0.790875,0.55487,91,0.2,0.217241,39,20222023,32.76829,34.36585,Pittsburgh Penguins,5,2,,40,31,1,2022-2023
0.514472,82,270,3.29268,259,3.15853,35,8,0.831081,0.800676,0.52439,86,0.199346,0.235294,37,20222023,31.36585,33.4878,Ottawa Senators,9,3,,39,31,2,2022-2023
0.494883,82,296,3.60975,270,3.29268,37,7,0.777777,0.71605,0.50609,83,0.175824,0.227106,32,20222023,30.81707,29.7317,Vancouver Canucks,23,1,,38,24,6,2022-2023
0.484889,82,298,3.63414,260,3.17073,38,7,0.75576,0.723503,0.4939,81,0.134453,0.193277,34,20222023,32.34146,28.54878,St. Louis Blues,19,4,,37,27,3,2022-2023
0.491293,82,275,3.35365,237,2.89024,37,10,0.803212,0.783133,0.4878,80,0.166666,0.211111,32,20222023,30.43902,28.19512,Detroit Red Wings,17,4,,35,28,3,2022-2023
0.495408,82,261,3.18292,253,3.08536,37,10,0.836283,0.818585,0.4878,80,0.179591,0.212244,33,20222023,31.07317,31.08536,Washington Capitals,15,5,,35,27,2,2022-2023
0.457323,82,276,3.36585,220,2.68292,38,13,0.793991,0.746782,0.45731,75,0.115555,0.155555,29,20222023,31.52439,29.46341,Philadelphia Flyers,4,3,,31,26,2,2022-2023
0.458899,82,295,3.59756,225,2.7439,40,14,0.761755,0.746082,0.42682,70,0.163865,0.189075,25,20222023,35.04878,25.84146,Arizona Coyotes,53,4,,28,20,3,2022-2023
0.484794,82,305,3.71951,227,2.76829,45,6,0.756363,0.727273,0.41463,68,0.148305,0.161016,26,20222023,33.57317,27.28048,Montréal Canadiens,8,1,,31,21,5,2022-2023
0.509872,82,315,3.84146,233,2.84146,44,16,0.840163,0.823771,0.36585,60,0.12556,0.183856,21,20222023,32.19512,29.45121,San Jose Sharks,28,4,,22,16,1,2022-2023
0.526963,82,299,3.64634,202,2.46341,49,7,0.792207,0.761905,0.35975,59,0.120689,0.163793,24,20222023,33.63414,26.95121,Chicago Blackhawks,16,2,,26,18,2,2022-2023
0.486339,82,329,4.01219,213,2.59756,48,9,0.772151,0.751055,0.35975,59,0.142857,0.183035,24,20222023,35.41463,29.25609,Columbus Blue Jackets,29,0,,25,15,1,2022-2023
0.467368,82,335,4.08536,206,2.51219,47,12,0.725,0.721429,0.35365,58,0.126637,0.157205,20,20222023,39.10975,28.36585,Anaheim Ducks,24,1,,23,13,3,2022-2023
0.48235,82,242,2.95121,337,4.10975,18,6,0.841698,0.795367,0.7439,122,0.21374,0.244274,55,20212022,30.67073,37.34146,Florida Panthers,13,5,,58,42,3,2021-2022
0.472749,82,232,2.82926,308,3.75609,19,7,0.822033,0.796611,0.7256,119,0.222222,0.240143,52,20212022,32.01219,35.04878,Colorado Avalanche,21,7,,56,46,4,2021-2022
0.539048,82,200,2.43902,277,3.37804,20,8,0.894927,0.880435,0.70731,116,0.206896,0.219827,53,20212022,28.17073,34.12195,Carolina Hurricanes,12,6,,54,47,1,2021-2022
0.550543,82,252,3.07317,312,3.80487,21,7,0.876068,0.820513,0.70121,115,0.255411,0.272727,51,20212022,30.62195,34.57317,Toronto Maple Leafs,10,7,,54,45,3,2021-2022
0.476427,82,249,3.03658,305,3.71951,22,7,0.768939,0.761364,0.68902,113,0.186046,0.205426,48,20212022,31.42682,32.51219,Minnesota Wild,30,3,,53,37,5,2021-2022
0.51086,82,206,2.51219,291,3.54878,21,11,0.86,0.832,0.67682,111,0.216101,0.228813,48,20212022,28.95121,35.46341,Calgary Flames,20,11,,50,44,2,2021-2022
0.480643,82,204,2.4878,250,3.04878,24,6,0.858407,0.823009,0.67073,110,0.243119,0.252293,48,20212022,30.82926,29.17073,New York Rangers,3,9,,52,44,4,2021-2022
0.501177,82,228,2.78048,285,3.4756,23,8,0.833333,0.805556,0.67073,110,0.220077,0.239382,49,20212022,29.76829,30.91463,Tampa Bay Lightning,14,3,,51,39,2,2021-2022
